AAUs,assigned amount units
ACAP,Arctic Council Action Plan
ACEA,European Automobile Manufacturers' Association
ACIA,Arctic Climate Impact Assessment
ACS,automatic control stations
ADB,Asian Development Bank
AMAP,Arctic Monitoring and Assessment Programme 
AMD,Armenian dram
AOT40,Accumulated Ozone over a threshold of 40ppb
APHEIS,Air Pollution and Health: A European Information System
API,air pollution index
AQDD,Air Quality Daughter Directives
AQFD,Air Quality Framework Directive
ASCIs,Areas of Special Conservation Interest
ASCOBANS,Agreement on the Conservation of Small Cetaceans of the Baltic and North Seas
ASEF,Asia-Europe Foundation
AWI,The Alfred Wegener Institute,
BaP,benzo(a)pyrene ,
BauA,"Federal Institute for Occupational Safety and Health, Germany ",
BDE,bromo diphenyl ether,
BeNeLux,"Belgium, the Netherlands and Luxembourg",definition
BFRs,brominated flame retardants,
BMB NEMO,Baltic Marine Biologists database on Non-indigenous Estuarine and Marine Organisms,
bn,billion,
BOD,biochemical oxygen demand,
BREF,Best Available Technology Reference Documents,
BSC,Black Sea Commission,
BTC,Baku-Tbilisi-Ceyhan (oil pipeline),definition
C6H6,benzene,
CAFE,Clean Air for Europe,
CALM,Coordination of European Research for Advanced Transport Noise Mitigation,
CAP,Common Agricultural Policy,
CAPACT,Capacity Building for Air Quality Management and the Application of Clean Coal Combustion Technologies in Central Asia
CARDS,"Community Assistance for Reconstruction, Development and Stabilisation "
CAREAP,Regional Environmental Action Programme for Central Asia
CAREC,Regional Environmental Centre for Central Asia
CBD ,Convention on Biological Diversity 
CCI RF,Chamber of Commerce and Industry of the Russian Federation
CCMS,Committee on the Challenges of Modern Society
CCS,carbon capture and storage
Cd,cadmium
CDDA,Common Database on Designated Areas
CDM,Clean Development Mechanism
Cefic,European Chemical Industry Council
CEHAPE,Children's Environment and Health Action Plan for Europe
CEMR,Council of European Municipalities and Regions 
CENEf,Center for Energy Efficiency
CEP,Caspian Environment Programme
CEPA,"Communication, Education and Public Awareness "
CEPF,Critical Ecosystem Partnership Fund
CEPI,Confederation of European Paper Industries
CERA,Cambridge Energy Research Associates
CERs,certified emission reductions 
