AAUs,assigned amount units,ADDED BOTH. First as SYN and second as ELEM.
ACAP,Arctic Council Action Plan,ADDED BOTH. First as SYN and second as ELEM.
ACEA,European Automobile Manufacturers' Association,ADDED BOTH. First as SYN and second as ELEM.
ACIA,Arctic Climate Impact Assessment,ADDED BOTH. First as SYN and second as ELEM.
ACS,automatic control stations,ADDED BOTH. First as SYN and second as ELEM.
ADB,Asian Development Bank,ADDED BOTH. First as SYN and second as ELEM.
AMAP,Arctic Monitoring and Assessment Programme,NO ACTION. Both already exists.
AMD,Armenian dram,ADDED BOTH. First as SYN and second as ELEM.
AOT40,Accumulated Ozone over a threshold of 40ppb,SECOND ADDED first alredy exists. If first is SYN the coresponding ELEM exists so the second will not be added.
APHEIS,Air Pollution and Health: A European Information System,ADDED BOTH. First as SYN and second as ELEM.
API,air pollution index,ADDED BOTH. First as SYN and second as ELEM.
AQDD,Air Quality Daughter Directives,ADDED BOTH. First as SYN and second as ELEM.
AQFD,Air Quality Framework Directive,FIRST ADDED as SYN and SECOND already exists. If second is ELEM first relates to him and if second is SYN first related to his syn relation.
ASCIs,Areas of Special Conservation Interest,ADDED BOTH. First as SYN and second as ELEM.
ASCOBANS,Agreement on the Conservation of Small Cetaceans of the Baltic and North Seas,NO ACTION. Both already exists.
ASEF,Asia-Europe Foundation,ADDED BOTH. First as SYN and second as ELEM.
AWI,The Alfred Wegener Institute,ADDED BOTH. First as SYN and second as ELEM.
BaP,benzo(a)pyrene,ADDED BOTH. First as SYN and second as ELEM.
BauA,"Federal Institute for Occupational Safety and Health, Germany",ADDED BOTH. First as SYN and second as ELEM.
BDE,bromo diphenyl ether,ADDED BOTH. First as SYN and second as ELEM.
BeNeLux,"Belgium, the Netherlands and Luxembourg",ADDED BOTH. First as SYN and second as ELEM.
BFRs,brominated flame retardants,ADDED BOTH. First as SYN and second as ELEM.
BMB NEMO,Baltic Marine Biologists database on Non-indigenous Estuarine and Marine Organisms,ADDED BOTH. First as SYN and second as ELEM.
bn,billion,ADDED BOTH. First as SYN and second as ELEM.
BOD,biochemical oxygen demand,NO ACTION. Both already exists.
BREF,Best Available Technology Reference Documents,ADDED BOTH. First as SYN and second as ELEM.
BSC,Black Sea Commission,ADDED BOTH. First as SYN and second as ELEM.
BTC,Baku-Tbilisi-Ceyhan (oil pipeline),ADDED BOTH. First as SYN and second as ELEM.
C6H6,benzene,ADDED BOTH. First as SYN and second as ELEM.
CAFE,Clean Air for Europe,ADDED BOTH. First as SYN and second as ELEM.
CALM,Coordination of European Research for Advanced Transport Noise Mitigation,ADDED BOTH. First as SYN and second as ELEM.
CAP,Common Agricultural Policy,NO ACTION. Both already exists.
CAPACT,Capacity Building for Air Quality Management and the Application of Clean Coal Combustion Technologies in Central Asia,ADDED BOTH. First as SYN and second as ELEM.
CARDS,"Community Assistance for Reconstruction, Development and Stabilisation",ADDED BOTH. First as SYN and second as ELEM.
CAREAP,Regional Environmental Action Programme for Central Asia,ADDED BOTH. First as SYN and second as ELEM.
CAREC,Regional Environmental Centre for Central Asia,ADDED BOTH. First as SYN and second as ELEM.
CBD,Convention on Biological Diversity,ADDED BOTH. First as SYN and second as ELEM.
CCI RF,Chamber of Commerce and Industry of the Russian Federation,ADDED BOTH. First as SYN and second as ELEM.
CCMS,Committee on the Challenges of Modern Society,ADDED BOTH. First as SYN and second as ELEM.
CCS,carbon capture and storage,ADDED BOTH. First as SYN and second as ELEM.
Cd,cadmium,ADDED BOTH. First as SYN and second as ELEM.
CDDA,Common Database on Designated Areas,NO ACTION. Both already exists.
CDM,Clean Development Mechanism,NO ACTION. Both already exists.
Cefic,European Chemical Industry Council,ADDED BOTH. First as SYN and second as ELEM.
CEHAPE,Children's Environment and Health Action Plan for Europe,ADDED BOTH. First as SYN and second as ELEM.
CEMR,Council of European Municipalities and Regions,ADDED BOTH. First as SYN and second as ELEM.
CENEf,Center for Energy Efficiency,ADDED BOTH. First as SYN and second as ELEM.
CEP,Caspian Environment Programme,ADDED BOTH. First as SYN and second as ELEM.
CEPA,"Communication, Education and Public Awareness",ADDED BOTH. First as SYN and second as ELEM.
CEPF,Critical Ecosystem Partnership Fund,ADDED BOTH. First as SYN and second as ELEM.
CEPI,Confederation of European Paper Industries,ADDED BOTH. First as SYN and second as ELEM.
CERA,Cambridge Energy Research Associates,ADDED BOTH. First as SYN and second as ELEM.
CERs,certified emission reductions,ADDED BOTH. First as SYN and second as ELEM.
CFCs,chlorofluorocarbons,ADDED BOTH. First as SYN and second as ELEM.
CFP,Common Fisheries Policy,NO ACTION. Both already exists.
CH4,methane,FIRST ADDED as SYN and SECOND already exists. If second is ELEM first relates to him and if second is SYN first related to his syn relation.
CI,confidence interval,ADDED BOTH. First as SYN and second as ELEM.
CIFAS,Cross-compliance Indicators in the context of the Farm Advisory System,ADDED BOTH. First as SYN and second as ELEM.
